sku,price,category,name,currency,country,store
MLY23,{'fullPrice': 208800.0},mac,MacBook Air with M2 chip - Starlight,JPY,jp,AOS: Japan Consumer
MLY13,{'fullPrice': 164800.0},mac,MacBook Air with M2 chip - Starlight,JPY,jp,AOS: Japan Consumer
MLY03,{'fullPrice': 208800.0},mac,MacBook Air with M2 chip - Silver,JPY,jp,AOS: Japan Consumer
MLXY3,{'fullPrice': 164800.0},mac,MacBook Air with M2 chip - Silver,JPY,jp,AOS: Japan Consumer
MLXX3,{'fullPrice': 208800.0},mac,MacBook Air with M2 chip - Space Gray,JPY,jp,AOS: Japan Consumer
MLXW3,{'fullPrice': 164800.0},mac,MacBook Air with M2 chip - Space Gray,JPY,jp,AOS: Japan Consumer
MLY33,{'fullPrice': 164800.0},mac,MacBook Air with M2 chip - Midnight,JPY,jp,AOS: Japan Consumer
MLY43,{'fullPrice': 208800.0},mac,MacBook Air with M2 chip - Midnight,JPY,jp,AOS: Japan Consumer
MGN63,{'fullPrice': 1199.0},mac,MacBook Air with M1 chip - Space Gray,EUR,at,AOS: Austrian Consumer
MGND3,{'fullPrice': 1199.0},mac,MacBook Air with M1 chip - Gold,EUR,at,AOS: Austrian Consumer
MGN93,{'fullPrice': 1199.0},mac,MacBook Air with M1 chip - Silver,EUR,at,AOS: Austrian Consumer
MLY23,{'fullPrice': 1849.0},mac,MacBook Air with M2 chip - Starlight,EUR,at,AOS: Austrian Consumer
MLY13,{'fullPrice': 1499.0},mac,MacBook Air with M2 chip - Starlight,EUR,at,AOS: Austrian Consumer
MLY03,{'fullPrice': 1849.0},mac,MacBook Air with M2 chip - Silver,EUR,at,AOS: Austrian Consumer
MLXY3,{'fullPrice': 1499.0},mac,MacBook Air with M2 chip - Silver,EUR,at,AOS: Austrian Consumer
MLXX3,{'fullPrice': 1849.0},mac,MacBook Air with M2 chip - Space Gray,EUR,at,AOS: Austrian Consumer
MLXW3,{'fullPrice': 1499.0},mac,MacBook Air with M2 chip - Space Gray,EUR,at,AOS: Austrian Consumer
MLY33,{'fullPrice': 1499.0},mac,MacBook Air with M2 chip - Midnight,EUR,at,AOS: Austrian Consumer
MLY43,{'fullPrice': 1849.0},mac,MacBook Air with M2 chip - Midnight,EUR,at,AOS: Austrian Consumer
